"","month","town","flat_type","block","street_name","storey_range","floor_area_sqm","flat_model","lease_commence_date","remaining_lease","resale_price","unit_price","full_address"
"4852","2020-03","SENGKANG","4 ROOM","416A","FERNVALE LINK","07 TO 09",93,"Model A",2016,"94 years 10 months",416000,4473.11827956989,"416A FERNVALE LINK Singapore"
"4853","2020-03","SENGKANG","4 ROOM","416C","FERNVALE LINK","01 TO 03",93,"Model A",2016,"94 years 10 months",416000,4473.11827956989,"416C FERNVALE LINK Singapore"
"4854","2020-03","SENGKANG","4 ROOM","468B","FERNVALE LINK","10 TO 12",93,"Model A",2016,"95 years 06 months",420000,4516.12903225806,"468B FERNVALE LINK Singapore"
"4855","2020-03","SENGKANG","4 ROOM","415C","FERNVALE LINK","13 TO 15",93,"Model A",2016,"94 years 10 months",425000,4569.89247311828,"415C FERNVALE LINK Singapore"
"4856","2020-03","SENGKANG","4 ROOM","412A","FERNVALE LINK","07 TO 09",95,"Premium Apartment",2004,"83 years",372000,3915.78947368421,"412A FERNVALE LINK Singapore"
"4857","2020-03","SENGKANG","4 ROOM","440B","FERNVALE LINK","10 TO 12",92,"Model A",2015,"94 years 04 months",425000,4619.5652173913,"440B FERNVALE LINK Singapore"
"4858","2020-03","SENGKANG","4 ROOM","415B","FERNVALE LINK","16 TO 18",93,"Model A",2016,"94 years 10 months",468888,5041.8064516129,"415B FERNVALE LINK Singapore"
"4859","2020-03","SENGKANG","4 ROOM","440C","FERNVALE LINK","25 TO 27",92,"Model A",2015,"94 years 04 months",470000,5108.69565217391,"440C FERNVALE LINK Singapore"
"4860","2020-03","SENGKANG","4 ROOM","415A","FERNVALE LINK","19 TO 21",93,"Model A",2016,"94 years 10 months",442000,4752.68817204301,"415A FERNVALE LINK Singapore"
"4861","2020-03","SENGKANG","4 ROOM","415A","FERNVALE LINK","07 TO 09",93,"Model A",2016,"94 years 10 months",414000,4451.61290322581,"415A FERNVALE LINK Singapore"
"4862","2020-03","SENGKANG","4 ROOM","415A","FERNVALE LINK","13 TO 15",93,"Model A",2016,"94 years 10 months",460000,4946.23655913978,"415A FERNVALE LINK Singapore"
"4863","2020-03","SENGKANG","4 ROOM","415C","FERNVALE LINK","13 TO 15",93,"Model A",2016,"94 years 10 months",460000,4946.23655913978,"415C FERNVALE LINK Singapore"
"4864","2020-03","SENGKANG","4 ROOM","430D","FERNVALE LINK","22 TO 24",92,"Model A",2015,"94 years 02 months",450000,4891.30434782609,"430D FERNVALE LINK Singapore"
"4865","2020-03","SENGKANG","4 ROOM","441A","FERNVALE RD","16 TO 18",93,"Model A",2012,"91 years",434000,4666.66666666667,"441A FERNVALE RD Singapore"
"4866","2020-03","SENGKANG","4 ROOM","453D","FERNVALE RD","22 TO 24",92,"Model A",2015,"94 years 05 months",436000,4739.13043478261,"453D FERNVALE RD Singapore"
"4867","2020-03","SENGKANG","4 ROOM","453C","FERNVALE RD","04 TO 06",92,"Model A",2015,"94 years 05 months",405000,4402.17391304348,"453C FERNVALE RD Singapore"
"4868","2020-03","SENGKANG","4 ROOM","436A","FERNVALE RD","16 TO 18",96,"Model A",2010,"89 years",425000,4427.08333333333,"436A FERNVALE RD Singapore"
"4869","2020-03","SENGKANG","4 ROOM","407A","FERNVALE RD","01 TO 03",95,"Premium Apartment",2005,"83 years 10 months",335000,3526.31578947368,"407A FERNVALE RD Singapore"
"4870","2020-03","SENGKANG","4 ROOM","411A","FERNVALE RD","04 TO 06",95,"Premium Apartment",2012,"91 years 08 months",405000,4263.15789473684,"411A FERNVALE RD Singapore"
"4871","2020-03","SENGKANG","4 ROOM","453D","FERNVALE RD","07 TO 09",92,"Model A",2015,"94 years 04 months",415000,4510.86956521739,"453D FERNVALE RD Singapore"
"4872","2020-03","SENGKANG","4 ROOM","406A","FERNVALE RD","04 TO 06",90,"Premium Apartment",2004,"83 years 08 months",342000,3800,"406A FERNVALE RD Singapore"
"4873","2020-03","SENGKANG","4 ROOM","435B","FERNVALE RD","10 TO 12",94,"Premium Apartment",2013,"92 years 03 months",438000,4659.57446808511,"435B FERNVALE RD Singapore"
"4874","2020-03","SENGKANG","4 ROOM","411B","FERNVALE RD","19 TO 21",96,"Premium Apartment",2012,"91 years 08 months",450888,4696.75,"411B FERNVALE RD Singapore"
"4875","2020-03","SENGKANG","4 ROOM","453D","FERNVALE RD","07 TO 09",92,"Model A",2015,"94 years 04 months",418000,4543.47826086957,"453D FERNVALE RD Singapore"
"4876","2020-03","SENGKANG","4 ROOM","453B","FERNVALE RD","13 TO 15",92,"Model A",2015,"94 years 04 months",420000,4565.21739130435,"453B FERNVALE RD Singapore"
"4877","2020-03","SENGKANG","4 ROOM","434B","FERNVALE RD","22 TO 24",94,"Premium Apartment",2013,"92 years 03 months",456000,4851.06382978723,"434B FERNVALE RD Singapore"
"4878","2020-03","SENGKANG","4 ROOM","180C","RIVERVALE CRES","16 TO 18",93,"Model A",2015,"94 years 01 month",392888,4224.60215053763,"180C RIVERVALE CRES Singapore"
"4879","2020-03","SENGKANG","4 ROOM","149","RIVERVALE CRES","16 TO 18",100,"Model A",1999,"78 years 06 months",390000,3900,"149 RIVERVALE CRES Singapore"
"4880","2020-03","SENGKANG","4 ROOM","158B","RIVERVALE CRES","01 TO 03",91,"Premium Apartment",2003,"82 years 08 months",350000,3846.15384615385,"158B RIVERVALE CRES Singapore"
"4881","2020-03","SENGKANG","4 ROOM","150","RIVERVALE CRES","07 TO 09",90,"Model A",2005,"84 years 09 months",369000,4100,"150 RIVERVALE CRES Singapore"
"4882","2020-03","SENGKANG","4 ROOM","156","RIVERVALE CRES","01 TO 03",90,"Model A",2005,"84 years 09 months",340000,3777.77777777778,"156 RIVERVALE CRES Singapore"
"4883","2020-03","SENGKANG","4 ROOM","116A","RIVERVALE DR","16 TO 18",95,"Model A",2000,"79 years 04 months",360000,3789.47368421053,"116A RIVERVALE DR Singapore"
"4884","2020-03","SENGKANG","4 ROOM","121B","RIVERVALE DR","07 TO 09",91,"Model A",2000,"79 years 04 months",331000,3637.36263736264,"121B RIVERVALE DR Singapore"
"4885","2020-03","SENGKANG","4 ROOM","127","RIVERVALE ST","01 TO 03",100,"Model A",1999,"78 years 04 months",358000,3580,"127 RIVERVALE ST Singapore"
"4886","2020-03","SENGKANG","4 ROOM","271C","SENGKANG CTRL","01 TO 03",93,"Premium Apartment",2010,"89 years 03 months",385000,4139.78494623656,"271C SENGKANG CTRL Singapore"
"4887","2020-03","SENGKANG","4 ROOM","270A","SENGKANG CTRL","07 TO 09",93,"Premium Apartment",2010,"89 years 02 months",525000,5645.16129032258,"270A SENGKANG CTRL Singapore"
"4888","2020-03","SENGKANG","4 ROOM","272C","SENGKANG CTRL","10 TO 12",90,"Premium Apartment",2009,"88 years 09 months",540000,6000,"272C SENGKANG CTRL Singapore"
"4889","2020-03","SENGKANG","4 ROOM","280B","SENGKANG EAST AVE","10 TO 12",92,"Premium Apartment",2015,"94 years 06 months",580000,6304.34782608696,"280B SENGKANG EAST AVE Singapore"
"4890","2020-03","SENGKANG","4 ROOM","280A","SENGKANG EAST AVE","04 TO 06",92,"Premium Apartment",2015,"94 years 05 months",533000,5793.47826086957,"280A SENGKANG EAST AVE Singapore"
"4891","2020-03","SENGKANG","4 ROOM","280B","SENGKANG EAST AVE","10 TO 12",92,"Premium Apartment",2015,"94 years 05 months",565000,6141.30434782609,"280B SENGKANG EAST AVE Singapore"
"4892","2020-03","SENGKANG","4 ROOM","202C","SENGKANG EAST RD","10 TO 12",90,"Model A",2001,"80 years 02 months",405000,4500,"202C SENGKANG EAST RD Singapore"
"4893","2020-03","SENGKANG","4 ROOM","325B","SENGKANG EAST WAY","10 TO 12",90,"Model A",2003,"82 years 01 month",380000,4222.22222222222,"325B SENGKANG EAST WAY Singapore"
"4894","2020-03","SENGKANG","4 ROOM","438B","SENGKANG WEST AVE","19 TO 21",94,"Model A",2011,"90 years",406000,4319.14893617021,"438B SENGKANG WEST AVE Singapore"
"4895","2020-03","SENGKANG","4 ROOM","452B","SENGKANG WEST WAY","10 TO 12",92,"Model A",2015,"94 years 02 months",415000,4510.86956521739,"452B SENGKANG WEST WAY Singapore"
"4896","2020-03","SENGKANG","4 ROOM","433B","SENGKANG WEST WAY","16 TO 18",93,"Model A",2014,"93 years 08 months",435000,4677.41935483871,"433B SENGKANG WEST WAY Singapore"
"4897","2020-03","SENGKANG","4 ROOM","448A","SENGKANG WEST WAY","22 TO 24",92,"Model A",2014,"93 years 04 months",428000,4652.17391304348,"448A SENGKANG WEST WAY Singapore"
"4898","2020-03","SENGKANG","5 ROOM","336C","ANCHORVALE CRES","10 TO 12",111,"Premium Apartment",2015,"94 years 09 months",555000,5000,"336C ANCHORVALE CRES Singapore"
"4899","2020-03","SENGKANG","5 ROOM","336B","ANCHORVALE CRES","13 TO 15",111,"Premium Apartment",2015,"94 years 09 months",608000,5477.47747747748,"336B ANCHORVALE CRES Singapore"
"4900","2020-03","SENGKANG","5 ROOM","301A","ANCHORVALE DR","04 TO 06",110,"Improved",2001,"80 years 05 months",438000,3981.81818181818,"301A ANCHORVALE DR Singapore"
"4901","2020-03","SENGKANG","5 ROOM","322B","ANCHORVALE DR","10 TO 12",110,"Improved",2002,"81 years 01 month",488000,4436.36363636364,"322B ANCHORVALE DR Singapore"
"4902","2020-03","SENGKANG","5 ROOM","311C","ANCHORVALE LANE","04 TO 06",112,"Premium Apartment",2002,"81 years 09 months",380000,3392.85714285714,"311C ANCHORVALE LANE Singapore"
"4903","2020-03","SENGKANG","5 ROOM","311C","ANCHORVALE LANE","04 TO 06",111,"Premium Apartment",2002,"81 years 08 months",391000,3522.52252252252,"311C ANCHORVALE LANE Singapore"
"4904","2020-03","SENGKANG","5 ROOM","333C","ANCHORVALE LINK","04 TO 06",112,"Improved",2015,"94 years 04 months",550000,4910.71428571429,"333C ANCHORVALE LINK Singapore"
"4905","2020-03","SENGKANG","5 ROOM","316B","ANCHORVALE LINK","07 TO 09",110,"Premium Apartment",2003,"82 years 03 months",458000,4163.63636363636,"316B ANCHORVALE LINK Singapore"
"4906","2020-03","SENGKANG","5 ROOM","318D","ANCHORVALE LINK","07 TO 09",110,"Premium Apartment",2003,"82 years",450000,4090.90909090909,"318D ANCHORVALE LINK Singapore"
"4907","2020-03","SENGKANG","5 ROOM","305B","ANCHORVALE LINK","10 TO 12",110,"Improved",2001,"80 years 09 months",405000,3681.81818181818,"305B ANCHORVALE LINK Singapore"
"4908","2020-03","SENGKANG","5 ROOM","308B","ANCHORVALE RD","01 TO 03",110,"Improved",2001,"80 years 09 months",4e+05,3636.36363636364,"308B ANCHORVALE RD Singapore"
"4909","2020-03","SENGKANG","5 ROOM","315B","ANCHORVALE RD","04 TO 06",110,"Premium Apartment",2003,"82 years 02 months",425000,3863.63636363636,"315B ANCHORVALE RD Singapore"
"4910","2020-03","SENGKANG","5 ROOM","326B","ANCHORVALE RD","07 TO 09",113,"Premium Apartment",2015,"94 years 01 month",523000,4628.3185840708,"326B ANCHORVALE RD Singapore"
"4911","2020-03","SENGKANG","5 ROOM","331A","ANCHORVALE ST","04 TO 06",112,"Improved",2015,"94 years 06 months",560000,5000,"331A ANCHORVALE ST Singapore"
"4912","2020-03","SENGKANG","5 ROOM","330A","ANCHORVALE ST","10 TO 12",112,"Improved",2015,"94 years 05 months",6e+05,5357.14285714286,"330A ANCHORVALE ST Singapore"
"4913","2020-03","SENGKANG","5 ROOM","329B","ANCHORVALE ST","01 TO 03",112,"Improved",2015,"94 years 05 months",550000,4910.71428571429,"329B ANCHORVALE ST Singapore"
"4914","2020-03","SENGKANG","5 ROOM","290C","COMPASSVALE CRES","01 TO 03",110,"Improved",2001,"80 years 10 months",418000,3800,"290C COMPASSVALE CRES Singapore"
"4915","2020-03","SENGKANG","5 ROOM","295A","COMPASSVALE CRES","07 TO 09",110,"Improved",2002,"80 years 11 months",410000,3727.27272727273,"295A COMPASSVALE CRES Singapore"
"4916","2020-03","SENGKANG","5 ROOM","212B","COMPASSVALE DR","07 TO 09",115,"Premium Apartment",2012,"91 years 08 months",545000,4739.13043478261,"212B COMPASSVALE DR Singapore"
"4917","2020-03","SENGKANG","5 ROOM","207B","COMPASSVALE LANE","07 TO 09",110,"Improved",2005,"83 years 11 months",445000,4045.45454545455,"207B COMPASSVALE LANE Singapore"
"4918","2020-03","SENGKANG","5 ROOM","269C","COMPASSVALE LINK","04 TO 06",110,"Premium Apartment",2006,"84 years 11 months",460000,4181.81818181818,"269C COMPASSVALE LINK Singapore"
"4919","2020-03","SENGKANG","5 ROOM","245","COMPASSVALE RD","01 TO 03",115,"Improved",2000,"79 years 03 months",412888,3590.33043478261,"245 COMPASSVALE RD Singapore"
"4920","2020-03","SENGKANG","5 ROOM","248","COMPASSVALE RD","13 TO 15",116,"Improved",2000,"79 years 03 months",490000,4224.13793103448,"248 COMPASSVALE RD Singapore"
"4921","2020-03","SENGKANG","5 ROOM","255","COMPASSVALE RD","13 TO 15",116,"Improved",2000,"79 years 05 months",450888,3886.96551724138,"255 COMPASSVALE RD Singapore"
"4922","2020-03","SENGKANG","5 ROOM","262A","COMPASSVALE ST","10 TO 12",110,"Improved",2001,"80 years 02 months",478000,4345.45454545455,"262A COMPASSVALE ST Singapore"
"4923","2020-03","SENGKANG","5 ROOM","253","COMPASSVALE ST","04 TO 06",116,"Improved",2000,"79 years 07 months",419000,3612.06896551724,"253 COMPASSVALE ST Singapore"
"4924","2020-03","SENGKANG","5 ROOM","251","COMPASSVALE ST","10 TO 12",116,"Improved",2000,"79 years 07 months",440000,3793.10344827586,"251 COMPASSVALE ST Singapore"
"4925","2020-03","SENGKANG","5 ROOM","228A","COMPASSVALE WALK","01 TO 03",121,"Improved",2000,"79 years",420000,3471.07438016529,"228A COMPASSVALE WALK Singapore"
"4926","2020-03","SENGKANG","5 ROOM","240","COMPASSVALE WALK","13 TO 15",115,"Improved",1999,"78 years 07 months",5e+05,4347.82608695652,"240 COMPASSVALE WALK Singapore"
"4927","2020-03","SENGKANG","5 ROOM","403D","FERNVALE LANE","10 TO 12",114,"Premium Apartment",2004,"83 years 03 months",420000,3684.21052631579,"403D FERNVALE LANE Singapore"
"4928","2020-03","SENGKANG","5 ROOM","412B","FERNVALE LINK","01 TO 03",114,"Premium Apartment",2004,"83 years 03 months",430000,3771.9298245614,"412B FERNVALE LINK Singapore"
"4929","2020-03","SENGKANG","5 ROOM","416C","FERNVALE LINK","01 TO 03",113,"Improved",2016,"94 years 11 months",515000,4557.52212389381,"416C FERNVALE LINK Singapore"
"4930","2020-03","SENGKANG","5 ROOM","440C","FERNVALE LINK","19 TO 21",113,"Improved",2015,"94 years 05 months",540000,4778.7610619469,"440C FERNVALE LINK Singapore"
"4931","2020-03","SENGKANG","5 ROOM","416B","FERNVALE LINK","04 TO 06",112,"Improved",2016,"94 years 10 months",550000,4910.71428571429,"416B FERNVALE LINK Singapore"
"4932","2020-03","SENGKANG","5 ROOM","413A","FERNVALE LINK","13 TO 15",114,"Premium Apartment",2004,"83 years",460000,4035.08771929825,"413A FERNVALE LINK Singapore"
"4933","2020-03","SENGKANG","5 ROOM","416B","FERNVALE LINK","10 TO 12",112,"Improved",2016,"94 years 10 months",563888,5034.71428571429,"416B FERNVALE LINK Singapore"
"4934","2020-03","SENGKANG","5 ROOM","416C","FERNVALE LINK","10 TO 12",112,"Improved",2016,"94 years 10 months",551000,4919.64285714286,"416C FERNVALE LINK Singapore"
"4935","2020-03","SENGKANG","5 ROOM","416B","FERNVALE LINK","19 TO 21",113,"Improved",2016,"94 years 10 months",580000,5132.74336283186,"416B FERNVALE LINK Singapore"
"4936","2020-03","SENGKANG","5 ROOM","440B","FERNVALE LINK","19 TO 21",113,"Improved",2015,"94 years 04 months",565000,5000,"440B FERNVALE LINK Singapore"
"4937","2020-03","SENGKANG","5 ROOM","416B","FERNVALE LINK","19 TO 21",113,"Improved",2016,"94 years 10 months",590000,5221.2389380531,"416B FERNVALE LINK Singapore"
"4938","2020-03","SENGKANG","5 ROOM","416B","FERNVALE LINK","13 TO 15",112,"Improved",2016,"94 years 10 months",590000,5267.85714285714,"416B FERNVALE LINK Singapore"
"4939","2020-03","SENGKANG","5 ROOM","416A","FERNVALE LINK","10 TO 12",113,"Improved",2016,"94 years 10 months",543000,4805.30973451327,"416A FERNVALE LINK Singapore"
"4940","2020-03","SENGKANG","5 ROOM","415A","FERNVALE LINK","19 TO 21",113,"Improved",2016,"94 years 10 months",588888,5211.3982300885,"415A FERNVALE LINK Singapore"
"4941","2020-03","SENGKANG","5 ROOM","415B","FERNVALE LINK","16 TO 18",113,"Improved",2016,"94 years 10 months",598000,5292.03539823009,"415B FERNVALE LINK Singapore"
"4942","2020-03","SENGKANG","5 ROOM","440C","FERNVALE LINK","07 TO 09",113,"Improved",2015,"94 years 04 months",538888,4768.9203539823,"440C FERNVALE LINK Singapore"
"4943","2020-03","SENGKANG","5 ROOM","415A","FERNVALE LINK","13 TO 15",113,"Improved",2016,"94 years 10 months",575000,5088.49557522124,"415A FERNVALE LINK Singapore"
"4944","2020-03","SENGKANG","5 ROOM","430D","FERNVALE LINK","19 TO 21",115,"Improved",2015,"94 years 02 months",585000,5086.95652173913,"430D FERNVALE LINK Singapore"
"4945","2020-03","SENGKANG","5 ROOM","416C","FERNVALE LINK","13 TO 15",113,"Improved",2016,"94 years 10 months",555000,4911.50442477876,"416C FERNVALE LINK Singapore"
"4946","2020-03","SENGKANG","5 ROOM","435A","FERNVALE RD","19 TO 21",113,"Premium Apartment",2013,"92 years 04 months",540000,4778.7610619469,"435A FERNVALE RD Singapore"
"4947","2020-03","SENGKANG","5 ROOM","409A","FERNVALE RD","22 TO 24",115,"Premium Apartment",2004,"83 years 10 months",495000,4304.34782608696,"409A FERNVALE RD Singapore"
"4948","2020-03","SENGKANG","5 ROOM","149","RIVERVALE CRES","16 TO 18",122,"Improved",1999,"78 years 07 months",435000,3565.5737704918,"149 RIVERVALE CRES Singapore"
"4949","2020-03","SENGKANG","5 ROOM","158D","RIVERVALE CRES","10 TO 12",110,"Premium Apartment",2003,"82 years 06 months",405000,3681.81818181818,"158D RIVERVALE CRES Singapore"
"4950","2020-03","SENGKANG","5 ROOM","183C","RIVERVALE CRES","10 TO 12",110,"Improved",2003,"82 years 02 months",418000,3800,"183C RIVERVALE CRES Singapore"
"4951","2020-03","SENGKANG","5 ROOM","186A","RIVERVALE DR","07 TO 09",110,"Improved",2001,"79 years 10 months",378000,3436.36363636364,"186A RIVERVALE DR Singapore"
"4952","2020-03","SENGKANG","5 ROOM","123","RIVERVALE DR","10 TO 12",115,"Improved",1999,"78 years 06 months",420000,3652.17391304348,"123 RIVERVALE DR Singapore"
"4953","2020-03","SENGKANG","5 ROOM","117C","RIVERVALE DR","10 TO 12",115,"Improved",2000,"79 years 04 months",428000,3721.73913043478,"117C RIVERVALE DR Singapore"
"4954","2020-03","SENGKANG","5 ROOM","279B","SENGKANG EAST AVE","04 TO 06",112,"Premium Apartment",2015,"94 years 05 months",668000,5964.28571428571,"279B SENGKANG EAST AVE Singapore"
"4955","2020-03","SENGKANG","5 ROOM","260A","SENGKANG EAST WAY","07 TO 09",110,"Improved",2001,"79 years 10 months",550000,5000,"260A SENGKANG EAST WAY Singapore"
"4956","2020-03","SENGKANG","5 ROOM","261B","SENGKANG EAST WAY","13 TO 15",110,"Improved",2000,"79 years 07 months",520000,4727.27272727273,"261B SENGKANG EAST WAY Singapore"
"4957","2020-03","SENGKANG","5 ROOM","323C","SENGKANG EAST WAY","13 TO 15",110,"Improved",2003,"82 years 01 month",498000,4527.27272727273,"323C SENGKANG EAST WAY Singapore"
"4958","2020-03","SENGKANG","5 ROOM","325B","SENGKANG EAST WAY","04 TO 06",110,"Improved",2003,"82 years 01 month",450000,4090.90909090909,"325B SENGKANG EAST WAY Singapore"
"4959","2020-03","SENGKANG","5 ROOM","451A","SENGKANG WEST WAY","13 TO 15",111,"Improved",2015,"94 years 03 months",550000,4954.95495495495,"451A SENGKANG WEST WAY Singapore"
"4960","2020-03","SENGKANG","EXECUTIVE","302D","ANCHORVALE LINK","07 TO 09",130,"Apartment",2001,"80 years 08 months",560000,4307.69230769231,"302D ANCHORVALE LINK Singapore"
"4961","2020-03","SENGKANG","EXECUTIVE","202A","COMPASSVALE DR","04 TO 06",130,"Apartment",2001,"80 years 03 months",595000,4576.92307692308,"202A COMPASSVALE DR Singapore"
"4962","2020-03","SENGKANG","EXECUTIVE","205A","COMPASSVALE LANE","10 TO 12",144,"Maisonette",1999,"78 years 04 months",7e+05,4861.11111111111,"205A COMPASSVALE LANE Singapore"
"4963","2020-03","SENGKANG","EXECUTIVE","299C","COMPASSVALE ST","10 TO 12",135,"Premium Apartment",2001,"80 years 05 months",545000,4037.03703703704,"299C COMPASSVALE ST Singapore"
"4964","2020-03","SENGKANG","EXECUTIVE","189B","RIVERVALE DR","07 TO 09",131,"Apartment",2000,"79 years 04 months",515000,3931.29770992366,"189B RIVERVALE DR Singapore"
"4965","2020-03","SENGKANG","EXECUTIVE","103","RIVERVALE WALK","07 TO 09",140,"Apartment",1999,"78 years",598000,4271.42857142857,"103 RIVERVALE WALK Singapore"
"4966","2020-03","SENGKANG","EXECUTIVE","102","RIVERVALE WALK","01 TO 03",140,"Maisonette",1999,"78 years",572000,4085.71428571429,"102 RIVERVALE WALK Singapore"
"4967","2020-03","SERANGOON","3 ROOM","207","SERANGOON CTRL","04 TO 06",64,"Simplified",1986,"65 years 01 month",360000,5625,"207 SERANGOON CTRL Singapore"
"4968","2020-03","SERANGOON","3 ROOM","206","SERANGOON CTRL","01 TO 03",64,"Simplified",1985,"64 years 09 months",360000,5625,"206 SERANGOON CTRL Singapore"
"4969","2020-03","SERANGOON","3 ROOM","108","SERANGOON NTH AVE 1","01 TO 03",70,"Improved",1985,"63 years 10 months",245000,3500,"108 SERANGOON NTH AVE 1 Singapore"
"4970","2020-03","SERANGOON","4 ROOM","7","LOR LEW LIAN","07 TO 09",98,"New Generation",1978,"57 years 02 months",445000,4540.81632653061,"7 LOR LEW LIAN Singapore"
"4971","2020-03","SERANGOON","4 ROOM","402","SERANGOON AVE 1","01 TO 03",104,"Model A",1989,"67 years 11 months",595888,5729.69230769231,"402 SERANGOON AVE 1 Singapore"
"4972","2020-03","SERANGOON","4 ROOM","402","SERANGOON AVE 1","10 TO 12",105,"Model A",1989,"67 years 11 months",6e+05,5714.28571428571,"402 SERANGOON AVE 1 Singapore"
"4973","2020-03","SERANGOON","4 ROOM","244","SERANGOON AVE 2","01 TO 03",89,"Simplified",1985,"64 years 06 months",490000,5505.61797752809,"244 SERANGOON AVE 2 Singapore"
"4974","2020-03","SERANGOON","4 ROOM","313","SERANGOON AVE 2","01 TO 03",93,"New Generation",1985,"64 years 02 months",467000,5021.50537634409,"313 SERANGOON AVE 2 Singapore"
"4975","2020-03","SERANGOON","4 ROOM","307","SERANGOON AVE 2","13 TO 15",95,"New Generation",1985,"64 years 07 months",470000,4947.36842105263,"307 SERANGOON AVE 2 Singapore"
"4976","2020-03","SERANGOON","4 ROOM","246","SERANGOON AVE 3","10 TO 12",84,"Simplified",1986,"64 years 11 months",495000,5892.85714285714,"246 SERANGOON AVE 3 Singapore"
"4977","2020-03","SERANGOON","4 ROOM","233","SERANGOON AVE 3","07 TO 09",84,"Simplified",1985,"64 years 03 months",413000,4916.66666666667,"233 SERANGOON AVE 3 Singapore"
"4978","2020-03","SERANGOON","4 ROOM","211","SERANGOON AVE 4","07 TO 09",91,"New Generation",1985,"64 years 06 months",440000,4835.16483516484,"211 SERANGOON AVE 4 Singapore"
"4979","2020-03","SERANGOON","4 ROOM","116","SERANGOON NTH AVE 1","07 TO 09",98,"New Generation",1986,"64 years 10 months",345000,3520.40816326531,"116 SERANGOON NTH AVE 1 Singapore"
"4980","2020-03","SERANGOON","4 ROOM","141","SERANGOON NTH AVE 2","10 TO 12",113,"Model A",1989,"68 years 02 months",455000,4026.54867256637,"141 SERANGOON NTH AVE 2 Singapore"
"4981","2020-03","SERANGOON","4 ROOM","546","SERANGOON NTH AVE 3","01 TO 03",100,"Model A",1998,"76 years 10 months",363000,3630,"546 SERANGOON NTH AVE 3 Singapore"
"4982","2020-03","SERANGOON","4 ROOM","509","SERANGOON NTH AVE 4","01 TO 03",102,"Model A",1997,"76 years 04 months",380000,3725.49019607843,"509 SERANGOON NTH AVE 4 Singapore"
"4983","2020-03","SERANGOON","5 ROOM","420","SERANGOON CTRL","04 TO 06",121,"Improved",1989,"68 years 08 months",668000,5520.66115702479,"420 SERANGOON CTRL Singapore"
"4984","2020-03","SERANGOON","5 ROOM","137","SERANGOON NTH AVE 2","01 TO 03",123,"Improved",1989,"68 years 07 months",573800,4665.0406504065,"137 SERANGOON NTH AVE 2 Singapore"
"4985","2020-03","SERANGOON","5 ROOM","546","SERANGOON NTH AVE 3","01 TO 03",121,"Improved",1998,"76 years 10 months",465000,3842.97520661157,"546 SERANGOON NTH AVE 3 Singapore"
"4986","2020-03","SERANGOON","5 ROOM","552","SERANGOON NTH AVE 3","10 TO 12",121,"Improved",1997,"76 years 08 months",550000,4545.45454545455,"552 SERANGOON NTH AVE 3 Singapore"
"4987","2020-03","SERANGOON","5 ROOM","501","SERANGOON NTH AVE 4","10 TO 12",124,"Improved",1992,"71 years 09 months",535000,4314.51612903226,"501 SERANGOON NTH AVE 4 Singapore"
"4988","2020-03","SERANGOON","5 ROOM","533","SERANGOON NTH AVE 4","10 TO 12",122,"Improved",1992,"71 years 07 months",528000,4327.86885245902,"533 SERANGOON NTH AVE 4 Singapore"
"4989","2020-03","SERANGOON","5 ROOM","540","SERANGOON NTH AVE 4","04 TO 06",122,"Improved",1992,"71 years 07 months",450000,3688.52459016393,"540 SERANGOON NTH AVE 4 Singapore"
"4990","2020-03","SERANGOON","EXECUTIVE","319","SERANGOON AVE 2","04 TO 06",146,"Maisonette",1985,"64 years 08 months",8e+05,5479.45205479452,"319 SERANGOON AVE 2 Singapore"
"4991","2020-03","SERANGOON","EXECUTIVE","318","SERANGOON AVE 2","07 TO 09",151,"Maisonette",1985,"64 years 04 months",788000,5218.54304635762,"318 SERANGOON AVE 2 Singapore"
"4992","2020-03","SERANGOON","EXECUTIVE","317","SERANGOON AVE 2","10 TO 12",151,"Maisonette",1985,"64 years 03 months",865000,5728.47682119205,"317 SERANGOON AVE 2 Singapore"
"4993","2020-03","SERANGOON","EXECUTIVE","125","SERANGOON NTH AVE 1","10 TO 12",148,"Maisonette",1986,"64 years 11 months",612000,4135.13513513513,"125 SERANGOON NTH AVE 1 Singapore"
"4994","2020-03","SERANGOON","EXECUTIVE","543","SERANGOON NTH AVE 3","13 TO 15",140,"Apartment",1997,"76 years 09 months",720000,5142.85714285714,"543 SERANGOON NTH AVE 3 Singapore"
"4995","2020-03","SERANGOON","EXECUTIVE","543","SERANGOON NTH AVE 3","04 TO 06",143,"Maisonette",1997,"76 years 09 months",640000,4475.52447552448,"543 SERANGOON NTH AVE 3 Singapore"
"4996","2020-03","SERANGOON","EXECUTIVE","542","SERANGOON NTH AVE 4","01 TO 03",147,"Maisonette",1992,"71 years 08 months",638000,4340.13605442177,"542 SERANGOON NTH AVE 4 Singapore"
"4997","2020-03","SERANGOON","EXECUTIVE","506","SERANGOON NTH AVE 4","01 TO 03",146,"Apartment",1992,"71 years 07 months",620000,4246.57534246575,"506 SERANGOON NTH AVE 4 Singapore"
"4998","2020-03","TAMPINES","2 ROOM","499B","TAMPINES AVE 9","04 TO 06",46,"Model A",2014,"93 years",250000,5434.78260869565,"499B TAMPINES AVE 9 Singapore"
"4999","2020-03","TAMPINES","3 ROOM","890C","TAMPINES AVE 1","01 TO 03",69,"Model A",2015,"94 years 07 months",345000,5000,"890C TAMPINES AVE 1 Singapore"
