,id,title,latitude,longitude
0,38512787571,Dhoby Ghaut Chill,1.298678,103.846120
1,25179073782,Daybreak,1.284005,103.858823
2,16485304274,Purr-fect Day to just chill...,1.390584,103.987544
3,15315834670,Cold Sea Cucumber and Seaweed marinated in Vinegar from Itacho Sushi in Bugis Junction,1.299708,103.855776
4,11264098486,Street Music,1.300952,103.858931
5,42991941980,Esplanade Outdoor Theatre,1.289046,103.856742
6,42991940670,Esplanade Park,1.289347,103.853437
7,44802959001,Victoria Theatre & Concert Hall,1.288306,103.851635
8,30591647023,Rust and Chill,1.335672,103.896170
9,28565047332,Chendol eaten in upper east coast,1.332705,103.938691
10,24062826536,Marina Bay Sands,1.284123,103.859199
11,23948019841,Time & Place,1.282310,103.858630
12,22047459996,Soba (Green Tea Noodle),1.301802,103.840330
13,16144451753,Gangster Ice,1.286855,103.807977
14,16607454396,The Days...,1.282814,103.853791
15,15777271400,Cappuccino on the Saturday night,1.282826,103.830403
16,15310318390,Ice Kachang from Curry Times at West Gate,1.333673,103.742875
17,11264067315,Fly with Me,1.300952,103.858931
18,11264157323,Trust,1.300952,103.858931
19,10360235213,Chillin',1.281982,103.864021
20,9336392544,Starbucks Cafe Rochester,1.304069,103.790438
21,8729542144,Chill,1.309812,103.816487
22,8729508378,Chill,1.309812,103.816487
23,8729491264,Chill,1.309812,103.816487
24,8728356135,Chill,1.309812,103.816487
25,8729446272,Chill,1.309812,103.816487
26,8728286445,Chill,1.309812,103.816487
27,8728224891,Chill,1.309812,103.816487
28,8418104141,Finally some time with the boy.,1.306014,103.866161
29,8290088103,Crab Tagliatelle.,1.304214,103.787200
30,8289816393,"Post Taiwan AYG // Lemon Poppy Seed Cake, Flat White & Cappuccino.",1.303043,103.858211
31,6814426860,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
32,6814426726,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
33,6814426578,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
34,6814426294,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
35,6960540307,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
36,6960540085,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
37,6960539851,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
38,6814425586,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
39,6814425404,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
40,6814425232,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
41,6814424950,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
42,6814424804,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
43,6960538479,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
44,6814424180,"Swing Perfection, 110 Killiney Road (www.swingperfection.com.sg)",1.298045,103.838809
45,6857304111,Singapore : Chilling at Wild Oats,1.375192,103.898177
46,6857268727,Singapore : Chilling at Wild Oats,1.375192,103.898177
47,6694613557,Singapore : Chill Out at Brotziet,1.294618,103.852992
48,6694612205,Singapore : Chill Out at Brotziet,1.294618,103.852992
49,6198226773,Clark Quay : The Pump Room,1.290462,103.845310
50,6092514613,Singapore : Coffee Break,1.293492,103.852697
51,6089298440,Forlorn @ One Fullerton,1.286182,103.854183
52,5795748245,"Dude, Cafe, Singapore",1.310050,103.902000
53,4891036466,Chill Out,1.294844,103.849527
54,4165208401,,1.252448,103.816144
55,3621553735,the river,1.289872,103.847891
56,3619389629,hooters,1.289674,103.845262
57,3608343330,coffee break,1.290939,103.850176
58,2933060837,In a meeting...,1.402258,103.794343
59,2769977135,Soba,1.264510,103.822227
