,id,title,latitude,longitude
0,50142908366,Singapore city skyline,1.285277,103.870833
1,50142273423,Singapore city skyline,1.289722,103.868055
2,50136052458,Kallang River,1.310144,103.870121
3,50098923711,Pasir Pajang Terminal seen from Labrador Nature Reserve in Singapore,1.265148,103.801971
4,50051051823,Singapore at night,1.288810,103.860197
5,49997132063,Marina Bay Singapore at Dawn,1.285234,103.855615
6,49925134061,Clear Sky,1.285154,103.856270
7,49747796573,Singapore,1.286761,103.854572
8,49733130478,A day trip to clear the mind,1.409352,103.991041
9,41980455215,"Skyline seen from the Waterfront Promenade at Night, Singapore",1.288832,103.856903
10,49598431568,Chinatown Bluehour,1.283657,103.843824
11,49595832031,"Twilight at Funan, Singapore",1.293096,103.852654
12,49482756052,Iconic Singapore sunset,1.287166,103.854199
13,49382646072,Singapore city skyline,1.288888,103.857222
14,49359867418,Supertree Grove at Gardens by the Bay,1.282472,103.861794
15,49276657112,Singapore city,1.288888,103.855555
16,49223695321,Singapore - Gardens by the bay east,1.289939,103.867986
17,48968251437,Singapore Merlion,1.286880,103.854457
18,48824574991,Singapore city skyline,1.285555,103.870833
19,48704701088,Business district modern building,1.291111,103.854166
20,48669601767,Singapore,1.288333,103.860555
21,48669309591,Singapore,1.287777,103.860555
22,48614441673,Singapore skyline at night,1.288888,103.855555
23,48614329423,Singapore skyline at night,1.288888,103.855555
24,48614328108,Singapore,1.288888,103.856944
25,48584399936,Red Singapore,1.289089,103.868511
26,48549869101,Colorful Singapore,1.288778,103.860025
27,48263451282,Aerial view of the Singapore landmark financial business district at sunset scene with skyscraper and beautiful sky. Singapore downtown,1.290819,103.867566
28,48193495242,Singapore city skyline,1.291111,103.854166
29,48193272281,Singapore city skyline,1.285000,103.858333
30,48174734106,Marina Bay Sands | Singapore,1.286847,103.854467
31,48166268636,Singapore city skyline,1.285555,103.870833
32,48165998626,Singapore city skyline,1.283888,103.871944
33,47947876098,Singapore city skyline,1.288830,103.856505
34,47947844006,Panorama aerial view of the Singapore landmark financial business district at sunset scene with skyscraper and beautiful sky. Singapore downtown,1.290819,103.867566
35,47947734778,All of Singapore,1.290819,103.867566
36,47947366447,Singapore city skyline,1.284902,103.858402
37,47789616992,Aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper and over clouds. Panorama of Singapore downtown.,1.285844,103.871530
38,47790893291,"Waterfront, Sentosa Island, Singapore, 27 March 2019 (6)",1.256252,103.820630
39,40824588243,"Waterfront, Sentosa Island, Singapore, 27 March 2019 (5)",1.256772,103.820352
40,47738657392,"Waterfront, Sentosa Island, Singapore, 27 March 2019 (4)",1.256627,103.820625
41,47790883831,"Waterfront, Sentosa Island, Singapore, 27 March 2019 (3)",1.257116,103.821036
42,47001748644,"Waterfront, Sentosa Island, Singapore, 27 March 2019 (2)",1.256533,103.820822
43,47790880341,"Waterfront, Sentosa Island, Singapore, 27 March 2019 (1)",1.256533,103.820822
44,40712129643,Panorama aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper and over clouds. Panorama of Singapore downtown.,1.285844,103.871530
45,33799836018,Aerial view of the Singapore landmark financial business district at twilight sunset scene with skyscraper and beautiful sky. Singapore downtown,1.285844,103.871530
46,47624295652,Summary of Singapore,1.285844,103.871530
47,46760990115,Panorama aerial view of the Singapore landmark financial business district at twilight sunset scene with skyscraper and beautiful sky. Singapore downtown,1.285844,103.871530
48,46690817945,"City of lights, Singapore",1.289003,103.854725
49,40523883073,Marina bay sands,1.288888,103.854999
50,46766482524,Marina bay sands,1.286199,103.854436
51,47356953351,Aerial view Singapore skyline,1.291111,103.854166
52,47186843342,Singapore a tiny but intriguing island,1.283816,103.858641
53,33312179648,Singapore aims to be the world's greenest city,1.282701,103.850176
54,33312658978,Boat Quay serves as one of the most popular places in Singapore,1.287802,103.849382
55,47185104551,The Financial hub overlooking the old Boat Quay of Singapore,1.288300,103.849478
56,33309184718,Samantha relaxing at Siloso beach in Singapore,1.254480,103.811949
57,46454394304,Samantha strolling along the soft sand and warm water of Siloso beach,1.252972,103.814599
58,46434418804,Samantha at a little deserted bounty beach on Sentosa island,1.254234,103.811906
59,33275121198,Samantha at the Siloso beach in Singapore,1.256851,103.811037
60,32192821597,The man-made Siloso beach in Singapore,1.255504,103.812839
61,47080639882,Juxtaposition of Singapore at Sentosa island,1.256347,103.813311
62,46934999332,Reflections at Keppel Bay is a true icon of modern architecture,1.267088,103.811294
63,47122626281,i Light Singapore - Bicentennial Edition | Singapore,1.286858,103.854553
64,33245580158,i Light Singapore - Bicentennial Edition | Singapore,1.289175,103.849253
65,46247125544,Lush jungle at the Henderson waves is broken up with  a true icon of modern architecture,1.276136,103.815436
66,46189290245,i Light Singapore - Bicentennial Edition | Singapore,1.289089,103.854317
67,32150927687,i Light Singapore - Bicentennial Edition | Singapore,1.288800,103.854618
68,46356929784,Singapore at the bay,1.288596,103.868640
69,39943622253,Mountaineers who were practicing in high trees on Mount Faber,1.272125,103.820189
70,46261545814,View from Mount Faber on Singapore,1.272687,103.819684
71,32016577677,Samantha walking on the quiet and unknown rooftop of Marina South Pier,1.284782,103.859242
72,46957199071,Inside Marina Bay Sands,1.283220,103.858909
73,46043052115,Blue Marina Bay Sands,1.282105,103.857514
74,32015959417,Interactive light attraction at Marina Bay Sands,1.285559,103.859982
75,46951622821,The awesome Marina Bay Sands Rain Oculus from the outside,1.283816,103.858641
76,46888149262,The awesome Marina Bay Sands Rain Oculus,1.283816,103.858641
77,46659314742,Admire the colonial façade of the the Victoria Theatre and Concert Hall,1.288225,103.851388
78,46169985954,Singapore high-rise financial district offices,1.284825,103.850626
79,46892245661,Singapore's fresco bar with altitude!,1.284825,103.850626
80,45977455185,Nightlife vibes at the 1 Altitude Bar in Singapore,1.284825,103.850626
81,45959551645,The Singapore Flyer at the Marina Bay,1.284771,103.865700
82,45897617395,Walking in the futuristic Supertree Grove,1.281864,103.863973
83,46107045154,Samantha in front of the Supertree Grove,1.282525,103.862235
84,32967500218,Cleaning the largest glass greenhouse in the world,1.284658,103.865175
85,32936476768,Singapore's extraordinary Gardens by the Bay,1.281864,103.863973
86,46759163842,Marina Bay Sands standing tall,1.282797,103.863351
87,39872875343,Singapore,1.288888,103.856944
88,46086365884,Skyway path through the Gardens by the Bay,1.281864,103.863973
89,32945425168,Aerial view Singapore skyline,1.291111,103.854166
90,45884500135,Supertree skywalk in Singapore,1.282025,103.864027
91,39815743703,Standing tall in the Supertree Grove,1.282025,103.864027
92,31783406667,Supertree Grove is a futuristic attraction with light show and sounds,1.282454,103.862761
93,45990301304,Marina Bay Sands Singapore and Gardens by the Bay at night,1.282486,103.862417
94,46744846721,Singapore's three main towers of Marina Bay Sands,1.282443,103.861763
95,31771000227,Singapore skyline at night and city reflections,1.288842,103.857922
96,32877352438,The Fullerton Bay Hotel,1.283966,103.853438
97,45943448794,Leisurely walk on Marina Bay waterfront,1.288772,103.854585
98,32837470208,Singapore ripples gets you easily into a state of meditation,1.288842,103.857922
99,45943110034,Strolling thru the Financial hub of Singapore,1.285421,103.850573
100,32761996668,Ready for a swim and lasershow at the YMCA,1.297621,103.848094
101,31694654757,Raining in Chinatown,1.280942,103.842204
102,31692000407,The Chinatown Heritage Centre of Singapore,1.283763,103.843824
103,39667764713,Singapore's China Town a  blend of old and new,1.283216,103.844779
104,45747420295,Aerial view of the Singapore landmark financial business distric,1.285844,103.871530
105,45747033865,Eye of Singapore,1.285844,103.871530
106,46609396492,Eye of Singapore,1.285844,103.871530
107,39696892073,Aerial view of the Singapore landmark financial business district at sunset scene with skyscraper and beautiful sky. Singapore downtown,1.285844,103.871530
108,32755158038,The National Museum of Singapore has been a prominent landmark,1.297734,103.848180
109,45888636344,MRT trains in Singapore are fully automated without driver!,1.357251,103.986174
110,45284784535,Singapore city skyline,1.289722,103.868055
111,45473018114,Singapore city skyline,1.289722,103.868055
112,44372011190,Singapore city skyline,1.285277,103.870833
113,32316876678,Singapore city skyline,1.287777,103.860555
114,43853117870,,1.286972,103.854577
115,43797196710,"Aerial view of Singapore business district and city at twilight in Singapore, Asia",1.291111,103.854166
116,43673178440,Singapore Skyline at Night,1.282327,103.856965
117,45264696191,"Singapore city skyline with fireworks, Singapore",1.291111,103.854166
118,30320102597,"Singapore city skyline, Singapore's business district, Singapore",1.291111,103.854166
119,44346486895,Singapore city skyline,1.283888,103.871944
120,43436456410,..Spectra..,1.286908,103.854378
121,44328073845,"Level 33, Singapore",1.279408,103.853600
122,29973114057,Aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper and over clouds. Panorama of Singapore downtown.,1.285844,103.871530
123,43095736430,Aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper and over clouds. Panorama of Singapore downtown.,1.285844,103.871530
124,42974409850,"Skyline seen from the Waterfront Promenade, Singapore",1.288896,103.855079
125,44803416091,the Marina Light,1.284863,103.858658
126,30806122678,Singapore & Lights,1.285152,103.853775
127,44616353952,CBD and a Select Few,1.288502,103.849880
128,30789864298,..I'm gonna get you..,1.286908,103.854378
129,30413502868,Aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper. Singapore downtown,1.285844,103.871530
130,29212117387,"Singapore city skyline, Singapore's business district, Singapore",1.285277,103.861666
131,29183351847,Marina bay Singapore,1.288888,103.854999
132,30246850938,..golden tower..,1.288168,103.851340
133,29165111577,Boat Quay at moring hours,1.286027,103.850113
134,30235138818,Hotel Skyline with Suspension bridge,1.285702,103.851499
135,29165105127,Heritage Hotel Building,1.285744,103.851513
136,44002353822,Aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper and over clouds. Singapore downtown,1.285844,103.871530
137,30182319868,Aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper and over clouds. Panorama of Singapore downtown.,1.285844,103.871530
138,30082062358,Bayfront Promenade,1.280308,103.856005
139,30075945338,Singapore city skyline,1.285277,103.870833
140,43222844644,Singapore city skyline,1.288888,103.856944
141,43889955132,Colorful Singapore building and laser show,1.288888,103.855555
142,43024322755,"Marina Bay, Singapore",1.280798,103.856184
143,43751269552,"Sunset at Changi, Singapore",1.391644,103.975177
144,43737879392,Top view of the Singapore landmark. Singapore city downtown drone view.,1.285844,103.871530
145,41976896800,Aerial view of the Singapore landmark financial business district at twilight sunset scene with skyscraper and beautiful sky. Singapore downtown,1.285844,103.871530
146,43785318541,Aerial view of the Singapore landmark financial business district at twilight sunset scene with skyscraper and beautiful sky. Singapore downtown,1.285844,103.871530
147,41907547330,..modern dusk..,1.286908,103.854378
148,41802836680,Aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper and over clouds. Panorama of Singapore downtown.,1.285844,103.871530
149,43603283741,"Esplanade bridge, Singapore",1.288005,103.854377
150,43534337602,Aerial view of the Singapore landmark financial business district at sunrise scene with skyscraper and over clouds. Singapore downtown,1.285844,103.871530
151,41772557110,Aerial view of the Singapore landmark financial business district at twilight sunset scene with skyscraper and beautiful sky. Singapore downtown,1.285844,103.871530
152,29661167908,..searchlights..,1.286908,103.854378
153,29082124578,..on guard..,1.286908,103.854378
154,42896042582,"Marina bay, Singapore",1.284852,103.853933
155,42868514992,"Singapore city skyline, Singapore's business district, Singapore",1.291111,103.854166
156,42859783912,"Singapore - June 18, 2018: View over the river showing Golden mile",1.300138,103.873433
157,42908266161,"Singapore - June 18, 2018: View of the water showing a condominium",1.299516,103.874366
158,42744601242,Singapore city skyline at night,1.283888,103.871944
159,28918003908,Singapore city skyline,1.287777,103.860555
160,42070452024,The Merlion fountain lit up at against the Singapore skyline,1.286944,103.854722
161,42646825192,..golden durian..,1.289358,103.855925
162,42520236351,..colorful skyline of Singapore..,1.285796,103.854180
163,41508918995,..golden halo covering the clock tower..,1.287922,103.854378
164,42180887541,Singapore city skyline at night,1.289722,103.868055
165,40360504880,"Singapore city skyline, Singapore's business district, Singapore",1.289166,103.855833
166,27290141447,"Building with reflection, Marina bay, Singapore city skyline",1.288888,103.857222
167,41260647775,"Colorful Singapore building and laser show, Singapore city skyline",1.288888,103.855555
168,41426938204,"Marina bay Singapore city skyline at dusk, Singapore",1.284852,103.853933
169,40254101420,..Spectra..,1.286908,103.854378
170,40061450950,Historical golden hour silhouettes..,1.290739,103.851547
171,41520327502,..lights up..,1.286908,103.854378
172,39741826950,Singapore city skyline,1.283888,103.871944
173,41541990491,Singapore Skyline Dusk,1.283404,103.857589
174,40797516644,The Merlion fountain,1.286944,103.854722
175,41301469942,Symphony of lasers and music,1.286944,103.859295
176,40584201034,City's Reflection,1.281124,103.855556
177,40245031105,"..classy, ellegant corner..",1.286279,103.852837
178,39276044000,"Cityscape of Singapore city in the daytime, Aerial view Singapore skyline",1.291111,103.854166
179,26049933137,Dusk in the city of lights..,1.286908,103.854378
180,38997862870,Cityscape of Singapore,1.290786,103.848647
181,40098497994,Cityscape of Singapore,1.290786,103.848647
182,40807563741,Cityscape of Singapore,1.288816,103.855277
183,26937633988,Cityscape of Singapore,1.288916,103.855186
184,25918449747,20171020-Canon EOS 750D-1495,1.286832,103.851388
185,40040984644,"..the sky boat in purple, handheld..",1.286656,103.854447
186,40656850681,..handheld and enjoying the show..,1.286908,103.854378
187,40375735032,"Business district modern building at dusk, Singapore city skyline",1.291111,103.854166
188,25547495837,"Singapore city skyline, Singapore's business district, Singapore",1.291111,103.854166
189,25541003897,Dawn at Merlion Park,1.286965,103.854435
190,26541417248,2018-02-22_merlion_park,1.286965,103.854435
191,40342220851,Singapore by night,1.290366,103.835070
192,25205520037,"Singapore city skyline, Singapore's business district, Singapore",1.291111,103.854166
193,38817571155,Singapore city skyline at night,1.289722,103.868055
194,39715134581,"Singapore city skyline at dusk, Singapore",1.285555,103.870833
195,24781686437,Singapore,1.285402,103.861088
